
Valores Confirmados

Fecha;CAPITAL;;CUPRUM;;HABITAT;;MODELO;;PLANVITAL;;PROVIDA;;UNO
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2024-01-29;56.164,81;4870573887618;58.203,42;4398780097091;53.344,52;5910639440126;56.787,68;1578708316344;89.480,78;1132189993512;52.543,63;3920881392386;57.326,88;206290899237
2024-01-30;56.349,69;4883168119992;58.408,57;4407677345121;53.535,12;5921929723581;56.971,29;1582837067597;89.770,02;1134707216873;52.710,82;3930875070103;57.507,33;206467978466
2024-01-31;56.480,55;4891219452919;58.540,45;4413545955628;53.649,07;5927539495121;57.098,84;1585715385001;89.968,97;1136861553995;52.828,66;3937996818856;57.651,67;206792216799
2024-02-01;56.995,14;4921490814108;59.026,68;4446353820188;54.115,03;5973596840230;57.586,15;1597855186742;90.637,34;1146212889769;53.316,84;3964064269543;58.085,76;210619999169
2024-02-02;57.447,79;4961100199203;59.482,02;4480070764933;54.584,09;6019207790228;58.016,36;1608868972940;91.270,09;1153496281119;53.751,92;3994942054025;58.484,46;211993774832
2024-02-03;57.447,79;4961100199203;59.482,02;4480070764933;54.584,09;6019207790228;58.016,36;1608868972940;91.270,09;1153496281119;53.751,92;3994942054025;58.484,46;211993774832
2024-02-04;57.447,79;4961100199203;59.482,02;4480070764933;54.584,09;6019207790228;58.016,36;1608868972940;91.270,09;1153496281119;53.751,92;3994942054025;58.484,46;211993774832
2024-02-05;57.215,84;4937339732857;59.278,97;4463561136714;54.377,81;5993302802569;57.828,07;1603293365911;91.100,51;1151393603426;53.530,97;3979031169909;58.347,06;211990002611
2024-02-06;56.934,62;4908559900876;58.999,66;4429197667993;54.144,43;5963795347613;57.587,41;1596546903349;90.745,01;1145579441795;53.282,61;3959376654341;58.127,14;211053830711
2024-02-07;57.054,17;4914966225840;59.079,05;4436136698902;54.221,68;5968337213564;57.680,11;1598561285360;90.889,26;1146766376965;53.400,59;3967380005692;58.180,74;211205471030
2024-02-08;57.193,67;4922122412431;59.247,07;4445955215420;54.369,63;5980154905260;57.827,45;1602862559908;91.118,37;1149623416185;53.547,76;3977074015012;58.338,07;211698333757
2024-02-09;57.143,84;4914591217627;59.218,38;4441514843783;54.367,71;5974447402962;57.832,54;1602520274189;91.118,69;1149026548905;53.470,93;3965499900378;58.362,73;211641315170
2024-02-10;57.143,84;4914591217627;59.218,38;4441514843783;54.367,71;5974447402962;57.832,54;1602520274189;91.118,69;1149026548905;53.470,93;3965499900378;58.362,73;211641315170
2024-02-11;57.143,84;4914591217627;59.218,38;4441514843783;54.367,71;5974447402962;57.832,54;1602520274189;91.118,69;1149026548905;53.470,93;3965499900378;58.362,73;211641315170
2024-02-12;57.251,28;4914688818762;59.339,17;4441504915098;54.468,90;5985116087660;57.962,99;1606675862925;91.332,39;1150880029154;53.569,80;3972285801751;58.524,86;212166236748
2024-02-13;57.360,86;4909062416177;59.448,60;4434430688597;54.569,66;5973123930010;58.088,81;1609008835047;91.524,86;1152513224766;53.684,90;3978094605612;58.633,07;212391968737
2024-02-14;57.036,29;4871385165589;59.110,89;4399896823896;54.258,62;5924041374574;57.811,22;1602586313681;91.125,09;1145855322832;53.365,53;3952155301439;58.410,01;211679093849
2024-02-15;56.957,09;4858255487518;59.036,30;4386121384817;54.161,98;5905140495523;57.696,48;1599321986335;90.937,39;1145211775949;53.285,74;3940111743375;58.286,40;214487914016
2024-02-16;57.129,38;4876675558972;59.264,28;4399123554270;54.341,46;5917401538791;57.857,15;1606931058831;91.199,39;1149205623674;53.446,17;3954431319158;58.423,81;215487120619
2024-02-17;57.129,38;4876675558972;59.264,28;4399123554270;54.341,46;5917401538791;57.857,15;1606931058831;91.199,39;1149205623674;53.446,17;3954431319158;58.423,81;215487120619
2024-02-18;57.129,38;4876675558972;59.264,28;4399123554270;54.341,46;5917401538791;57.857,15;1606931058831;91.199,39;1149205623674;53.446,17;3954431319158;58.423,81;215487120619
2024-02-19;56.908,61;4870516494482;59.053,85;4391885774219;54.137,79;5905076230637;57.651,33;1601789300628;90.927,16;1147079657607;53.215,57;3939444066867;58.261,28;215321523414
